[00:10:08] ,ultimate_end,383.77,2팀,Jasm1ne,D.Va,0,3
[00:10:10] ,ultimate_charged,385.40,1팀,Fielder,미즈키,0,2
[00:10:10] ,ultimate_start,385.81,1팀,Fielder,미즈키,0,2
[00:10:11] ,ultimate_start,386.29,2팀,ZEST,파라,0,2
[00:10:12] ,ultimate_start,387.06,2팀,Bliss,브리기테,0,2
[00:10:12] ,****,387.11,2팀,skewed,키리코,1팀,Fielder,미즈키,0,102.43,True,0
[00:10:12] ,defensive_assist,387.48,2팀,skewed,키리코,0
[00:10:12] ,offensive_assist,387.53,2팀,Bliss,브리기테,0
[00:10:12] ,defensive_assist,387.53,2팀,Bliss,브리기테,0
[00:10:13] ,ultimate_end,388.79,2팀,ZEST,파라,0,2
[00:10:17] ,ultimate_end,392.33,1팀,Fielder,미즈키,0,2
[00:10:22] ,ultimate_end,397.05,2팀,Bliss,브리기테,0,2
[00:10:28] ,****,403.40,1팀,SP1NT,트레이서,1팀,SP1NT,트레이서,0,55,0,True
[00:10:28] ,defensive_assist,403.51,2팀,Bliss,브리기테,0
[00:10:38] ,hero_swap,413.49,1팀,SP1NT,겐지,트레이서,154.04
[00:10:51] ,****,426.82,1팀,Fielder,미즈키,2팀,Bliss,브리기테,Primary Fire,20.10,0,0
[00:10:52] ,defensive_assist,427.01,1팀,Fielder,미즈키,0
[00:10:52] ,objective_updated,427.54,2,0,1
[00:10:52] ,objective_captured,427.54,2,1팀,1,0,0,207.59
[00:10:55] ,****,430.19,1팀,HanBin,D.Va,2팀,skewed,키리코,Melee,2,0,0
[00:10:56] ,****,431.09,1팀,MER1T,엠레,2팀,ZEST,파라,Primary Fire,21.64,0,0
[00:10:56] ,defensive_assist,431.25,1팀,Fielder,미즈키,0
[00:10:57] ,remech_charged,432.39,2팀,Jasm1ne,D.Va,0,4
[00:10:57] ,****,432.64,1팀,SP1NT,겐지,2팀,Jasm1ne,D.Va,Secondary Fire,50.25,True,0
[00:10:57] ,defensive_assist,432.66,1팀,Fielder,미즈키,0
[00:11:02] ,****,437.53,1팀,MER1T,엠레,2팀,Proud,엠레,Primary Fire,9.04,0,0
[00:11:08] ,payload_progress,443.69,2,1팀,1,40.01
[00:11:14] ,hero_swap,449.01,2팀,ZEST,겐지,파라,203.97
[00:11:26] ,payload_progress,461.32,2,1팀,1,50.01
[00:11:28] ,ultimate_charged,463.82,1팀,MER1T,엠레,0,3
[00:11:30] ,ultimate_charged,465.90,1팀,ChiYo,주노,0,3
[00:11:33] ,ultimate_start,468.70,1팀,ChiYo,주노,0,3
[00:11:33] ,ultimate_charged,468.94,2팀,skewed,키리코,0,3
[00:11:35] ,ultimate_start,470.56,2팀,skewed,키리코,0,3
[00:11:36] ,****,471.28,1팀,ChiYo,주노,2팀,ZEST,겐지,Secondary Fire,69.21,0,0
[00:11:36] ,defensive_assist,471.68,1팀,Fielder,미즈키,0
[00:11:36] ,ultimate_charged,471.76,1팀,HanBin,D.Va,0,3
[00:11:38] ,****,473.48,1팀,HanBin,D.Va,2팀,Bliss,브리기테,Melee,32.11,0,0
[00:11:38] ,defensive_assist,473.57,1팀,Fielder,미즈키,0
[00:11:39] ,****,474.21,1팀,HanBin,D.Va,2팀,Proud,엠레,Ability 1,14.28,0,0
[00:11:39] ,defensive_assist,474.50,1팀,Fielder,미즈키,0
[00:11:42] ,ultimate_end,477.22,1팀,ChiYo,주노,0,3
[00:11:44] ,payload_progress,479.26,2,1팀,1,60.02
[00:11:46] ,ultimate_end,481.77,2팀,skewed,키리코,0,3
[00:11:48] ,****,483.29,1팀,HanBin,D.Va,2팀,skewed,키리코,0,5.12,0,0
