[00:05:26] ,ability_2_used,177.89,1팀,ChiYo,루시우,0
[00:05:26] ,ability_1_used,178.11,2팀,HeeSang,시메트라,0
[00:05:26] ,ability_1_used,178.61,2팀,MAX,시그마,0
[00:05:27] ,ability_1_used,178.94,1팀,SP1NT,캐서디,0
[00:05:29] ,ultimate_charged,181.01,1팀,HanBin,라마트라,0,1
[00:05:30] ,ability_1_used,181.94,2팀,CH0R0NG,루시우,0
[00:05:30] ,ability_1_used,182.54,1팀,ChiYo,루시우,0
[00:05:31] ,ability_2_used,182.82,2팀,STALK3R,캐서디,0
[00:05:31] ,ability_1_used,183.30,2팀,STALK3R,캐서디,0
[00:05:32] ,ability_1_used,184.34,1팀,ChiYo,루시우,0
[00:05:32] ,ability_1_used,184.34,1팀,CheckMate,시메트라,0
[00:05:35] ,ultimate_charged,187.35,2팀,CH0R0NG,루시우,0,1
[00:05:35] ,ability_1_used,187.39,1팀,ChiYo,루시우,0
[00:05:36] ,ultimate_start,188.24,1팀,SP1NT,캐서디,0,1
[00:05:36] ,ultimate_end,188.72,1팀,CheckMate,시메트라,0,1
[00:05:37] ,ability_1_used,189.27,1팀,ChiYo,루시우,0
[00:05:37] ,ability_1_used,189.39,2팀,CH0R0NG,루시우,0
[00:05:37] ,ability_2_used,189.51,2팀,MAX,시그마,0
[00:05:38] ,ability_2_used,189.97,2팀,HeeSang,시메트라,0
[00:05:39] ,ability_1_used,190.84,2팀,STALK3R,캐서디,0
[00:05:39] ,ability_2_used,190.95,1팀,CheckMate,시메트라,0
[00:05:39] ,ability_1_used,191.24,1팀,ChiYo,루시우,0
[00:05:39] ,ability_1_used,191.75,2팀,vigilante,바티스트,0
[00:05:40] ,ability_2_used,192.32,1팀,HanBin,라마트라,0
[00:05:40] ,ability_2_used,192.44,1팀,CheckMate,시메트라,0
[00:05:40] ,****,192.58,1팀,SP1NT,캐서디,2팀,STALK3R,캐서디,Ultimate,176.68,0,0
[00:05:41] ,defensive_assist,192.80,1팀,Fielder,키리코,0
[00:05:41] ,ultimate_end,193.01,1팀,SP1NT,캐서디,0,1
[00:05:41] ,ability_2_used,193.28,1팀,ChiYo,루시우,0
[00:05:42] ,ability_1_used,193.96,2팀,HeeSang,시메트라,0
[00:05:42] ,ability_2_used,193.96,2팀,CH0R0NG,루시우,0
[00:05:42] ,ability_1_used,194.29,1팀,HanBin,라마트라,0
[00:05:42] ,ability_2_used,194.39,1팀,Fielder,키리코,0
[00:05:43] ,****,194.95,1팀,SP1NT,캐서디,2팀,CH0R0NG,루시우,Primary Fire,125.11,True,0
[00:05:43] ,defensive_assist,195.08,1팀,Fielder,키리코,0
[00:05:43] ,defensive_assist,195.11,1팀,ChiYo,루시우,0
[00:05:43] ,offensive_assist,195.14,1팀,HanBin,라마트라,0
[00:05:43] ,ability_1_used,195.38,1팀,SP1NT,캐서디,0
[00:05:43] ,ability_1_used,195.46,1팀,ChiYo,루시우,0
[00:05:44] ,ability_2_used,195.91,1팀,SP1NT,캐서디,0
[00:05:44] ,ability_2_used,196.63,2팀,vigilante,바티스트,0
[00:05:45] ,****,197.59,1팀,HanBin,라마트라,2팀,MAX,시그마,Ability 1,41.86,0,0
[00:05:46] ,offensive_assist,197.89,1팀,ChiYo,루시우,0
[00:05:46] ,defensive_assist,197.89,1팀,ChiYo,루시우,0
[00:05:46] ,ultimate_charged,197.91,2팀,vigilante,바티스트,0,2
[00:05:46] ,ability_1_used,197.93,1팀,ChiYo,루시우,0
[00:05:46] ,defensive_assist,197.93,1팀,Fielder,키리코,0
[00:05:47] ,ability_1_used,198.98,1팀,CheckMate,시메트라,0
[00:05:49] ,ability_1_used,201.18,1팀,ChiYo,루시우,0
[00:05:49] ,ability_1_used,201.45,1팀,Fielder,키리코,0
[00:05:50] ,ability_1_used,201.99,2팀,HeeSang,시메트라,0
[00:05:50] ,****,202.04,1팀,SP1NT,캐서디,2팀,vigilante,바티스트,Primary Fire,31.05,0,0
[00:05:50] ,ability_1_used,202.14,1팀,SP1NT,캐서디,0
[00:05:50] ,defensive_assist,202.14,1팀,Fielder,키리코,0
[00:05:51] ,****,203.03,1팀,SP1NT,캐서디,2팀,HeeSang,시메트라,Primary Fire,55,0,0
[00:05:51] ,defensive_assist,203.10,1팀,Fielder,키리코,0
[00:05:51] ,ability_1_used,203.46,1팀,ChiYo,루시우,0
[00:05:52] ,ability_1_used,204.62,2팀,CH0R0NG,루시우,0
[00:05:53] ,ability_1_used,205.13,2팀,STALK3R,캐서디,0
[00:05:56] ,ability_1_used,208.36,1팀,CheckMate,시메트라,0
[00:05:57] ,ability_1_used,208.92,1팀,CheckMate,시메트라,0
[00:05:58] ,ability_1_used,209.82,2팀,CH0R0NG,루시우,0
[00:06:00] ,ability_2_used,212.59,1팀,ChiYo,루시우,0
[00:06:00] ,ability_1_used,212.62,1팀,ChiYo,루시우,0
[00:06:01] ,ability_1_used,213.28,1팀,SP1NT,캐서디,0
[00:06:02] ,ability_1_used,214.09,2팀,STALK3R,캐서디,0
[00:06:03] ,ability_2_used,215.31,1팀,HanBin,라마트라,0
[00:06:03] ,ability_1_used,215.73,2팀,MAX,시그마,0
[00:06:04] ,ability_2_used,215.89,2팀,CH0R0NG,루시우,0
[00:06:05] ,ability_2_used,217.20,2팀,STALK3R,캐서디,0
[00:06:05] ,ability_1_used,217.49,1팀,ChiYo,루시우,0
[00:06:05] ,ultimate_charged,217.60,2팀,STALK3R,캐서디,0,2
[00:06:05] ,ultimate_charged,217.61,1팀,Fielder,키리코,0,2
[00:06:05] ,ability_1_used,217.65,2팀,vigilante,바티스트,0
[00:06:06] ,ability_1_used,218.65,2팀,CH0R0NG,루시우,0
[00:06:08] ,ability_1_used,219.85,1팀,SP1NT,캐서디,0
[00:06:08] ,ability_2_used,220.11,2팀,MAX,시그마,0
[00:06:08] ,ability_1_used,220.42,2팀,STALK3R,캐서디,0
[00:06:08] ,ability_1_used,220.75,1팀,HanBin,라마트라,0
[00:06:09] ,ability_1_used,220.96,1팀,CheckMate,시메트라,0
[00:06:09] ,ability_1_used,221.36,1팀,ChiYo,루시우,0
[00:06:10] ,****,222.08,2팀,STALK3R,캐서디,1팀,HanBin,라마트라,Secondary Fire,21.48,0,0
[00:06:10] ,ability_2_used,222.14,1팀,Fielder,키리코,0
[00:06:10] ,offensive_assist,222.38,2팀,CH0R0NG,루시우,0
[00:06:10] ,defensive_assist,222.38,2팀,CH0R0NG,루시우,0
[00:06:10] ,defensive_assist,222.42,2팀,vigilante,바티스트,0
[00:06:10] ,offensive_assist,222.46,2팀,MAX,시그마,0
[00:06:11] ,ability_1_used,223.28,1팀,ChiYo,루시우,0
