[00:05:20] ,****,197.13,1팀,Viol2t,루시우,2팀,ChiYo,루시우,Primary Fire,17,0,0
[00:05:20] ,defensive_assist,197.46,1팀,shu,키리코,0
[00:05:20] ,defensive_assist,197.54,1팀,Viol2t,루시우,0
[00:05:21] ,ability_1_used,197.67,1팀,Proper,시온,0
[00:05:21] ,ability_2_used,198.07,1팀,Proper,시온,0
[00:05:22] ,ability_2_used,199.45,1팀,shu,키리코,0
[00:05:23] ,ability_1_used,199.96,1팀,Viol2t,루시우,0
[00:05:24] ,ability_1_used,201.17,1팀,knife,소전,0
[00:05:27] ,ability_1_used,203.88,2팀,ChiYo,루시우,0
[00:05:27] ,ability_1_used,204.06,1팀,Proper,시온,0
[00:05:27] ,ability_2_used,204.39,2팀,ChiYo,루시우,0
[00:05:28] ,ability_1_used,205.59,2팀,MER1T,소전,0
[00:05:30] ,ability_2_used,207.55,1팀,Viol2t,루시우,0
[00:05:31] ,ability_1_used,207.80,2팀,Someone,마우가,0
[00:05:32] ,ability_2_used,209.13,2팀,CheckMate,리퍼,0
[00:05:33] ,ultimate_charged,210.25,2팀,Fielder,키리코,0,2
[00:05:34] ,ability_1_used,211.11,2팀,Fielder,키리코,0
[00:05:35] ,ability_1_used,212.49,1팀,Proper,시온,0
[00:05:36] ,ability_1_used,212.86,1팀,knife,소전,0
[00:05:38] ,ability_1_used,215.12,2팀,ChiYo,루시우,0
[00:05:38] ,ability_2_used,215.31,1팀,knife,소전,0
[00:05:42] ,ability_1_used,219.60,2팀,Someone,마우가,0
[00:05:43] ,ability_1_used,219.63,2팀,ChiYo,루시우,0
[00:05:43] ,ability_1_used,220.13,1팀,Bernar,마우가,0
[00:05:43] ,ability_1_used,220.16,2팀,MER1T,소전,0
[00:05:44] ,ability_1_used,220.93,2팀,ChiYo,루시우,0
[00:05:44] ,ability_2_used,221.28,2팀,Someone,마우가,0
[00:05:44] ,ultimate_charged,221.52,1팀,Viol2t,루시우,0,2
[00:05:45] ,ultimate_start,221.73,2팀,Fielder,키리코,0,2
[00:05:45] ,ability_1_used,222.51,1팀,Viol2t,루시우,0
[00:05:45] ,ability_2_used,222.59,1팀,Proper,시온,0
