[00:04:02] ,offensive_assist,163.21,1팀,Fielder,브리기테,0
[00:04:02] ,defensive_assist,163.21,1팀,Fielder,브리기테,0
[00:04:02] ,ability_1_used,163.32,2팀,STALK3R,위도우메이커,0
[00:04:03] ,ability_2_used,164.38,1팀,Fielder,브리기테,0
[00:04:08] ,hero_swap,168.83,2팀,STALK3R,시온,위도우메이커,5.99
[00:04:08] ,ability_2_used,168.99,1팀,Fielder,브리기테,0
[00:04:08] ,ability_1_used,168.99,2팀,STALK3R,시온,0
[00:04:08] ,ability_2_used,169.39,2팀,STALK3R,시온,0
[00:04:11] ,ability_1_used,172.57,1팀,MER1T,시온,0
[00:04:14] ,hero_swap,175.58,2팀,HeeSang,소전,시메트라,175.58
[00:04:17] ,ability_1_used,177.98,2팀,HeeSang,소전,0
[00:04:22] ,ability_2_used,183.01,2팀,HeeSang,소전,0
[00:04:22] ,ability_2_used,183.09,1팀,Fielder,브리기테,0
[00:04:22] ,ability_1_used,183.25,1팀,MER1T,시온,0
[00:04:24] ,ability_1_used,185.78,1팀,Fielder,브리기테,0
[00:04:26] ,ability_2_used,187.11,2팀,MAX,시그마,0
[00:04:26] ,ability_1_used,187.49,1팀,SP1NT,벤데타,0
[00:04:27] ,ability_2_used,188.64,1팀,Fielder,브리기테,0
[00:04:29] ,ability_2_used,189.92,1팀,SP1NT,벤데타,0
[00:04:29] ,ability_2_used,190.02,1팀,MER1T,시온,0
[00:04:30] ,ability_2_used,191.36,2팀,STALK3R,시온,0
[00:04:33] ,ability_1_used,193.86,2팀,STALK3R,시온,0
[00:04:33] ,ability_2_used,194.31,1팀,Fielder,브리기테,0
[00:04:33] ,ability_1_used,194.58,1팀,ChiYo,주노,0
[00:04:34] ,ability_1_used,195.00,2팀,CH0R0NG,우양,0
[00:04:34] ,****,195.78,2팀,HeeSang,소전,1팀,SP1NT,벤데타,Secondary Fire,53.48,0,0
[00:04:35] ,defensive_assist,196.02,2팀,vigilante,키리코,0
[00:04:36] ,ability_1_used,197.59,1팀,Fielder,브리기테,0
[00:04:37] ,ability_1_used,198.66,1팀,MER1T,시온,0
[00:04:41] ,ability_2_used,201.83,2팀,HeeSang,소전,0
[00:04:41] ,ability_2_used,201.96,1팀,ChiYo,주노,0
[00:04:41] ,ultimate_charged,201.96,1팀,HanBin,마우가,0,1
