[00:03:31] ,ability_2_used,141.98,1팀,Jasm1ne,도미나,0
[00:03:32] ,ability_1_used,142.00,1팀,Bliss,루시우,0
[00:03:33] ,ability_1_used,143.06,1팀,Bliss,루시우,0
[00:03:33] ,ultimate_start,143.12,2팀,Someone,라마트라,0,1
[00:03:33] ,ultimate_start,143.66,1팀,Bliss,루시우,0,1
[00:03:33] ,ability_1_used,143.95,1팀,Bliss,루시우,0
[00:03:34] ,****,144.13,2팀,CheckMate,시메트라,1팀,Jasm1ne,도미나,Primary Fire,1.96,0,0
[00:03:34] ,offensive_assist,144.32,2팀,ChiYo,루시우,0
[00:03:34] ,defensive_assist,144.35,2팀,Fielder,키리코,0
[00:03:34] ,offensive_assist,144.37,2팀,Someone,라마트라,0
[00:03:34] ,ultimate_charged,144.56,1팀,ZEST,시메트라,0,1
[00:03:36] ,ability_2_used,146.14,2팀,CheckMate,시메트라,0
[00:03:36] ,ability_1_used,146.90,1팀,Bliss,루시우,0
[00:03:38] ,ability_1_used,148.00,1팀,Bliss,루시우,0
[00:03:38] ,ability_1_used,148.07,2팀,CheckMate,시메트라,0
[00:03:38] ,ability_1_used,148.80,2팀,CheckMate,시메트라,0
[00:03:39] ,ability_1_used,149.28,1팀,Bliss,루시우,0
[00:03:40] ,ability_2_used,150.19,2팀,Someone,라마트라,0
[00:03:40] ,ultimate_end,150.59,1팀,Bliss,루시우,0,1
[00:03:40] ,****,150.71,2팀,CheckMate,시메트라,1팀,ZEST,시메트라,Primary Fire,3.32,0,0
[00:03:40] ,defensive_assist,150.91,2팀,Fielder,키리코,0
[00:03:40] ,ability_1_used,150.93,2팀,ChiYo,루시우,0
[00:03:41] ,ability_2_used,151.44,2팀,ChiYo,루시우,0
[00:03:41] ,ability_1_used,151.67,1팀,Bliss,루시우,0
[00:03:42] ,ultimate_end,152.47,2팀,Someone,라마트라,0,1
[00:03:43] ,ability_1_used,153.49,2팀,Someone,라마트라,0
[00:03:43] ,ability_1_used,153.51,1팀,Bliss,루시우,0
[00:03:44] ,ability_1_used,154.42,1팀,Bliss,루시우,0
[00:03:44] ,ability_2_used,154.61,1팀,Bliss,루시우,0
[00:03:44] ,ability_2_used,154.95,1팀,skewed,키리코,0
[00:03:45] ,ability_1_used,155.97,1팀,Bliss,루시우,0
[00:03:47] ,ability_1_used,157.67,1팀,skewed,키리코,0
[00:03:51] ,ability_1_used,161.85,2팀,ChiYo,루시우,0
[00:03:52] ,ability_1_used,162.95,2팀,Fielder,키리코,0
[00:03:54] ,ability_2_used,164.04,1팀,Jasm1ne,도미나,0
[00:03:54] ,ability_1_used,164.50,2팀,ChiYo,루시우,0
[00:03:55] ,ability_1_used,165.69,1팀,Bliss,루시우,0
[00:03:56] ,ability_2_used,166.52,2팀,CheckMate,시메트라,0
[00:03:56] ,ability_1_used,166.71,1팀,Bliss,루시우,0
[00:03:57] ,ability_1_used,167.83,2팀,ChiYo,루시우,0
[00:03:58] ,ability_1_used,168.95,1팀,Bliss,루시우,0
[00:03:59] ,ability_2_used,169.31,2팀,Someone,라마트라,0
[00:03:59] ,ability_1_used,169.40,2팀,ChiYo,루시우,0
[00:04:00] ,ability_1_used,170.68,2팀,ChiYo,루시우,0
[00:04:02] ,ability_2_used,172.73,2팀,ChiYo,루시우,0
[00:04:02] ,ability_1_used,172.84,1팀,Bliss,루시우,0
[00:04:03] ,ability_1_used,173.56,2팀,CheckMate,시메트라,0
[00:04:04] ,ability_1_used,174.03,1팀,Bliss,루시우,0
[00:04:04] ,ability_1_used,174.68,2팀,ChiYo,루시우,0
[00:04:04] ,ability_2_used,174.99,1팀,Jasm1ne,도미나,0
[00:04:05] ,ability_1_used,175.13,1팀,Bliss,루시우,0
[00:04:06] ,ability_1_used,176.12,2팀,ChiYo,루시우,0
[00:04:06] ,ability_1_used,176.17,1팀,Jasm1ne,도미나,0
[00:04:07] ,****,177.18,1팀,Jasm1ne,도미나,2팀,CheckMate,시메트라,Primary Fire,1.62,0,0
[00:04:07] ,ability_2_used,177.49,2팀,MER1T,소전,0
[00:04:09] ,ability_1_used,179.02,1팀,Proud,바스티온,0
[00:04:09] ,ability_2_used,179.61,1팀,Bliss,루시우,0
[00:04:09] ,ability_2_used,179.66,1팀,ZEST,시메트라,0
[00:04:10] ,ability_1_used,180.73,1팀,Bliss,루시우,0
[00:04:11] ,ability_2_used,181.20,2팀,Someone,라마트라,0
[00:04:11] ,ability_1_used,181.37,2팀,MER1T,소전,0
[00:04:11] ,ability_1_used,181.94,1팀,Bliss,루시우,0
[00:04:13] ,ability_2_used,183.87,1팀,Jasm1ne,도미나,0
[00:04:15] ,ability_1_used,185.31,1팀,Bliss,루시우,0
[00:04:17] ,ability_1_used,187.19,1팀,Bliss,루시우,0
[00:04:17] ,ability_1_used,187.41,1팀,Jasm1ne,도미나,0
[00:04:17] ,ability_1_used,187.44,2팀,Someone,라마트라,0
[00:04:18] ,ability_1_used,188.16,1팀,Bliss,루시우,0
[00:04:18] ,ability_1_used,188.23,2팀,ChiYo,루시우,0
[00:04:19] ,ability_1_used,190.00,2팀,ChiYo,루시우,0
[00:04:21] ,ability_1_used,191.94,2팀,ChiYo,루시우,0
[00:04:24] ,ultimate_charged,194.58,2팀,Fielder,키리코,0,2
[00:04:25] ,ultimate_charged,195.73,1팀,skewed,키리코,0,2
[00:04:26] ,ability_2_used,196.82,2팀,CheckMate,시메트라,0
[00:04:27] ,ability_2_used,197.81,1팀,Jasm1ne,도미나,0
[00:04:28] ,ability_1_used,198.84,1팀,Bliss,루시우,0
[00:04:29] ,ability_1_used,199.81,1팀,ZEST,시메트라,0
[00:04:30] ,ability_1_used,200.12,1팀,Bliss,루시우,0
[00:04:30] ,ability_1_used,200.47,2팀,CheckMate,시메트라,0
[00:04:31] ,ability_1_used,201.08,2팀,ChiYo,루시우,0
[00:04:33] ,ability_1_used,203.22,2팀,CheckMate,시메트라,0
[00:04:33] ,ability_1_used,203.94,2팀,CheckMate,시메트라,0
[00:04:34] ,ability_1_used,204.71,1팀,Bliss,루시우,0
[00:04:36] ,ability_1_used,206.02,1팀,Bliss,루시우,0
[00:04:36] ,ability_2_used,206.39,1팀,Jasm1ne,도미나,0
[00:04:37] ,ability_2_used,207.05,2팀,MER1T,소전,0
[00:04:37] ,ability_1_used,207.66,1팀,Bliss,루시우,0
[00:04:39] ,ability_1_used,209.80,2팀,ChiYo,루시우,0
[00:04:41] ,ability_1_used,211.07,2팀,ChiYo,루시우,0
[00:04:41] ,ability_2_used,211.26,2팀,ChiYo,루시우,0
[00:04:41] ,ability_2_used,211.34,2팀,CheckMate,시메트라,0
[00:04:41] ,ability_1_used,211.42,1팀,Bliss,루시우,0
[00:04:41] ,ability_1_used,211.58,1팀,Jasm1ne,도미나,0
[00:04:41] ,ultimate_start,211.60,1팀,skewed,키리코,0,2
[00:04:41] ,ability_2_used,211.61,2팀,Someone,라마트라,0
[00:04:41] ,ultimate_charged,211.63,2팀,MER1T,소전,0,2
[00:04:41] ,ultimate_start,211.66,2팀,Fielder,키리코,0,2
[00:04:42] ,ability_2_used,212.12,1팀,Bliss,루시우,0
[00:04:42] ,ability_1_used,212.24,1팀,Proud,바스티온,0
[00:04:43] ,ability_2_used,213.05,1팀,ZEST,시메트라,0
[00:04:43] ,ability_1_used,213.47,2팀,Someone,라마트라,0
[00:04:43] ,ability_1_used,213.66,2팀,ChiYo,루시우,0
[00:04:43] ,****,213.98,2팀,MER1T,소전,1팀,Jasm1ne,도미나,Primary Fire,8.29,0,0
[00:04:43] ,offensive_assist,213.98,2팀,ChiYo,루시우,0
[00:04:43] ,defensive_assist,213.98,2팀,ChiYo,루시우,0
[00:04:43] ,ability_2_used,214.01,1팀,skewed,키리코,0
[00:04:44] ,offensive_assist,214.36,2팀,Fielder,키리코,0
[00:04:44] ,defensive_assist,214.36,2팀,Fielder,키리코,0
[00:04:45] ,ability_2_used,215.64,2팀,Fielder,키리코,0
[00:04:46] ,ability_1_used,216.29,2팀,ChiYo,루시우,0
[00:04:46] ,****,216.78,2팀,CheckMate,시메트라,1팀,Proud,바스티온,Primary Fire,22.51,0,0
[00:04:46] ,ability_1_used,216.99,1팀,Bliss,루시우,0
[00:04:47] ,offensive_assist,217.18,2팀,Fielder,키리코,0
[00:04:47] ,defensive_assist,217.18,2팀,Fielder,키리코,0
[00:04:47] ,offensive_assist,217.25,2팀,ChiYo,루시우,0
[00:04:47] ,defensive_assist,217.25,2팀,ChiYo,루시우,0
[00:04:47] ,ability_1_used,217.55,1팀,skewed,키리코,0
[00:04:48] ,****,218.78,2팀,CheckMate,시메트라,1팀,ZEST,시메트라,Melee,13.11,0,0
[00:04:49] ,offensive_assist,219.07,2팀,Fielder,키리코,0
[00:04:49] ,defensive_assist,219.07,2팀,Fielder,키리코,0
[00:04:49] ,offensive_assist,219.12,2팀,ChiYo,루시우,0
[00:04:50] ,****,220.03,2팀,MER1T,소전,1팀,skewed,키리코,Secondary Fire,12.97,0,0
[00:04:50] ,offensive_assist,220.05,2팀,ChiYo,루시우,0
[00:04:50] ,offensive_assist,220.48,2팀,Fielder,키리코,0
[00:04:50] ,defensive_assist,220.48,2팀,Fielder,키리코,0
[00:04:51] ,****,221.12,2팀,Someone,라마트라,1팀,Bliss,루시우,Ability 1,1.95,0,0
[00:04:51] ,offensive_assist,221.42,2팀,Fielder,키리코,0
[00:04:51] ,defensive_assist,221.42,2팀,Fielder,키리코,0
[00:04:51] ,offensive_assist,221.47,2팀,ChiYo,루시우,0
[00:04:52] ,ability_1_used,222.05,2팀,ChiYo,루시우,0
[00:04:52] ,ability_1_used,222.43,2팀,MER1T,소전,0
[00:04:52] ,ultimate_end,222.64,2팀,Fielder,키리코,0,2
[00:04:52] ,ultimate_end,222.80,1팀,skewed,키리코,0,2
[00:04:53] ,ability_1_used,223.18,2팀,MER1T,소전,0
[00:04:53] ,ability_2_used,223.52,2팀,CheckMate,시메트라,0
[00:04:53] ,ability_1_used,223.86,2팀,ChiYo,루시우,0
[00:04:54] ,ability_1_used,224.72,2팀,Fielder,키리코,0
[00:04:56] ,ability_1_used,226.43,2팀,CheckMate,시메트라,0
[00:04:56] ,ability_1_used,226.99,2팀,CheckMate,시메트라,0
[00:04:57] ,ability_1_used,227.89,2팀,CheckMate,시메트라,0
