[00:04:42] ,ability_1_used,136.75,2팀,HeeSang,트레이서,0
[00:04:43] ,ability_1_used,137.33,1팀,ChiYo,브리기테,0
[00:04:43] ,ability_1_used,137.39,2팀,STALK3R,시온,0
[00:04:43] ,ability_1_used,137.42,1팀,SP1NT,트레이서,0
[00:04:43] ,ability_1_used,137.45,2팀,HeeSang,트레이서,0
[00:04:43] ,ability_2_used,138.13,1팀,ChiYo,브리기테,0
[00:04:43] ,ability_1_used,138.19,2팀,HeeSang,트레이서,0
[00:04:45] ,ability_1_used,139.33,1팀,MER1T,프레야,0
[00:04:46] ,ability_2_used,140.65,1팀,SP1NT,트레이서,0
[00:04:46] ,ability_2_used,140.88,2팀,HeeSang,트레이서,0
[00:04:47] ,ability_1_used,142.26,2팀,HeeSang,트레이서,0
[00:04:47] ,ability_1_used,142.26,1팀,SP1NT,트레이서,0
[00:04:49] ,ability_2_used,144.19,2팀,STALK3R,시온,0
[00:04:50] ,ability_1_used,144.91,1팀,SP1NT,트레이서,0
[00:04:50] ,ability_1_used,145.09,1팀,MER1T,프레야,0
[00:04:51] ,ability_1_used,146.08,1팀,Fielder,키리코,0
[00:04:52] ,ability_2_used,146.29,2팀,vigilante,아나,0
[00:04:52] ,ability_1_used,146.34,2팀,STALK3R,시온,0
[00:04:52] ,ability_2_used,146.54,2팀,MAX,오리사,0
[00:04:52] ,ability_1_used,146.56,1팀,SP1NT,트레이서,0
[00:04:53] ,ability_1_used,147.67,2팀,CH0R0NG,제트팩 캣,0
[00:04:53] ,ability_1_used,148.13,2팀,HeeSang,트레이서,0
[00:04:54] ,ability_1_used,148.29,2팀,HeeSang,트레이서,0
[00:04:54] ,ability_1_used,149.01,1팀,MER1T,프레야,0
[00:04:55] ,ability_1_used,149.79,1팀,SP1NT,트레이서,0
[00:04:56] ,ability_1_used,150.90,2팀,HeeSang,트레이서,0
[00:04:56] ,payload_progress,151.22,1,2팀,1,40.02
[00:04:58] ,ability_1_used,152.61,2팀,STALK3R,시온,0
[00:04:59] ,ability_1_used,154.20,2팀,CH0R0NG,제트팩 캣,0
[00:05:01] ,ability_2_used,155.72,1팀,ChiYo,브리기테,0
[00:05:01] ,ability_1_used,156.18,1팀,MER1T,프레야,0
[00:05:03] ,ability_1_used,157.40,1팀,SP1NT,트레이서,0
[00:05:03] ,ability_1_used,158.04,2팀,HeeSang,트레이서,0
[00:05:04] ,ability_1_used,158.65,1팀,SP1NT,트레이서,0
[00:05:04] ,ability_1_used,158.84,1팀,HanBin,자리야,0
[00:05:04] ,ability_2_used,159.25,2팀,HeeSang,트레이서,0
[00:05:06] ,ability_1_used,161.25,1팀,SP1NT,트레이서,0
[00:05:07] ,ability_2_used,161.33,1팀,SP1NT,트레이서,0
[00:05:07] ,ability_1_used,161.51,2팀,HeeSang,트레이서,0
[00:05:07] ,ability_1_used,162.02,1팀,MER1T,프레야,0
[00:05:07] ,ability_1_used,162.20,2팀,HeeSang,트레이서,0
[00:05:09] ,ability_1_used,163.56,2팀,CH0R0NG,제트팩 캣,0
[00:05:10] ,ability_2_used,164.76,2팀,STALK3R,시온,0
[00:05:10] ,ability_2_used,165.19,1팀,ChiYo,브리기테,0
[00:05:12] ,ability_1_used,166.41,2팀,STALK3R,시온,0
[00:05:12] ,ability_1_used,166.41,1팀,SP1NT,트레이서,0
[00:05:13] ,ability_1_used,167.56,1팀,MER1T,프레야,0
[00:05:13] ,ability_2_used,167.63,1팀,ChiYo,브리기테,0
[00:05:13] ,ability_1_used,167.71,1팀,Fielder,키리코,0
[00:05:14] ,ultimate_start,168.63,1팀,Fielder,키리코,0,1
[00:05:14] ,ability_1_used,168.70,1팀,MER1T,프레야,0
[00:05:14] ,ability_2_used,169.03,1팀,ChiYo,브리기테,0
[00:05:15] ,ultimate_start,169.63,2팀,STALK3R,시온,0,1
[00:05:15] ,ability_2_used,169.99,2팀,CH0R0NG,제트팩 캣,0
[00:05:15] ,ability_2_used,170.01,2팀,MAX,오리사,0
[00:05:15] ,ability_1_used,170.17,2팀,HeeSang,트레이서,0
[00:05:15] ,ultimate_charged,170.19,1팀,MER1T,프레야,0,2
[00:05:16] ,ability_1_used,170.51,1팀,ChiYo,브리기테,0
[00:05:16] ,ability_1_used,170.65,1팀,HanBin,자리야,0
[00:05:16] ,ability_2_used,170.97,1팀,ChiYo,브리기테,0
[00:05:16] ,ability_1_used,170.99,2팀,CH0R0NG,제트팩 캣,0
[00:05:16] ,ultimate_start,171.02,2팀,MAX,오리사,0,1
[00:05:16] ,ability_2_used,171.08,1팀,MER1T,프레야,0
[00:05:17] ,ability_2_used,171.39,1팀,Fielder,키리코,0
[00:05:17] ,ability_2_used,172.25,2팀,vigilante,아나,0
[00:05:18] ,ability_1_used,172.73,1팀,MER1T,프레야,0
[00:05:19] ,ability_1_used,173.37,1팀,SP1NT,트레이서,0
[00:05:19] ,ability_1_used,173.90,1팀,Fielder,키리코,0
[00:05:20] ,ultimate_end,174.57,2팀,STALK3R,시온,0,1
[00:05:20] ,ability_1_used,174.72,2팀,vigilante,아나,0
[00:05:20] ,ability_2_used,174.96,1팀,ChiYo,브리기테,0
[00:05:20] ,****,175.21,2팀,MAX,오리사,1팀,SP1NT,트레이서,Ultimate,114.29,0,0
[00:05:21] ,offensive_assist,175.47,2팀,CH0R0NG,제트팩 캣,0
[00:05:21] ,defensive_assist,175.47,2팀,CH0R0NG,제트팩 캣,0
[00:05:21] ,ultimate_end,175.53,2팀,MAX,오리사,0,1
[00:05:22] ,ability_1_used,176.38,2팀,HeeSang,트레이서,0
[00:05:22] ,****,176.48,1팀,HanBin,자리야,2팀,vigilante,아나,Secondary Fire,24.31,0,0
