[00:04:21] ,ability_1_used,148.34,1팀,MER1T,프레야,0
[00:04:21] ,ability_1_used,148.35,2팀,STALK3R,프레야,0
[00:04:21] ,ability_2_used,148.39,2팀,vigilante,키리코,0
[00:04:21] ,ability_1_used,148.74,1팀,MER1T,프레야,0
[00:04:21] ,ultimate_end,148.90,1팀,Fielder,키리코,0,1
[00:04:21] ,ability_2_used,149.04,1팀,ChiYo,브리기테,0
[00:04:22] ,ultimate_end,149.22,2팀,CH0R0NG,미즈키,0,1
[00:04:22] ,ultimate_start,149.43,2팀,STALK3R,프레야,0,1
[00:04:22] ,ability_1_used,149.43,2팀,CH0R0NG,미즈키,0
[00:04:22] ,ultimate_end,150.07,2팀,STALK3R,프레야,0,1
[00:04:22] ,ultimate_end,150.10,2팀,vigilante,키리코,0,1
[00:04:23] ,ability_2_used,150.24,1팀,ChiYo,브리기테,0
[00:04:23] ,ultimate_charged,150.48,2팀,HeeSang,트레이서,0,1
[00:04:24] ,ability_1_used,151.30,2팀,HeeSang,트레이서,0
[00:04:24] ,ultimate_charged,151.51,1팀,ChiYo,브리기테,0,1
[00:04:24] ,ability_1_used,151.68,2팀,STALK3R,프레야,0
[00:04:24] ,ultimate_start,151.91,1팀,ChiYo,브리기테,0,1
[00:04:25] ,ability_2_used,152.69,2팀,STALK3R,프레야,0
[00:04:25] ,ability_1_used,153.00,1팀,ChiYo,브리기테,0
[00:04:26] ,ability_1_used,153.35,1팀,MER1T,프레야,0
[00:04:26] ,ability_2_used,153.75,1팀,MER1T,프레야,0
[00:04:26] ,ability_1_used,154.05,2팀,STALK3R,프레야,0
[00:04:27] ,point_progress,154.34,1,1팀,2,66.84
[00:04:27] ,ultimate_end,154.39,2팀,MAX,시그마,0,1
[00:04:27] ,ability_1_used,154.42,2팀,MAX,시그마,0
[00:04:27] ,ultimate_end,155.16,1팀,Someone,라마트라,0,1
[00:04:28] ,ability_1_used,155.51,2팀,HeeSang,트레이서,0
[00:04:28] ,ability_1_used,155.62,1팀,SP1NT,트레이서,0
[00:04:28] ,ability_2_used,155.73,1팀,ChiYo,브리기테,0
[00:04:28] ,ultimate_start,155.88,1팀,SP1NT,트레이서,0,1
[00:04:28] ,ultimate_end,156.07,1팀,SP1NT,트레이서,0,1
[00:04:28] ,ability_2_used,156.08,2팀,CH0R0NG,미즈키,0
[00:04:29] ,point_progress,156.29,1,1팀,2,99.94
[00:04:29] ,objective_captured,156.31,1,1팀,2,49.88,43.36,0
[00:04:29] ,ability_1_used,156.50,1팀,SP1NT,트레이서,0
[00:04:29] ,ability_1_used,156.81,1팀,MER1T,프레야,0
[00:04:29] ,ability_1_used,156.93,2팀,vigilante,키리코,0
[00:04:29] ,ability_2_used,157.16,2팀,MAX,시그마,0
[00:04:30] ,ability_2_used,157.89,2팀,HeeSang,트레이서,0
[00:04:31] ,ability_1_used,158.50,1팀,Someone,라마트라,0
[00:04:31] ,ability_1_used,159.09,2팀,HeeSang,트레이서,0
[00:04:32] ,ability_1_used,159.33,1팀,SP1NT,트레이서,0
[00:04:32] ,ability_1_used,159.67,1팀,SP1NT,트레이서,0
[00:04:32] ,ability_1_used,159.69,1팀,ChiYo,브리기테,0
[00:04:32] ,ability_2_used,159.93,1팀,Someone,라마트라,0
[00:04:33] ,ability_1_used,160.21,2팀,CH0R0NG,미즈키,0
[00:04:33] ,ability_1_used,160.53,2팀,STALK3R,프레야,0
[00:04:33] ,ability_2_used,161.01,1팀,ChiYo,브리기테,0
[00:04:34] ,ability_1_used,161.24,1팀,MER1T,프레야,0
[00:04:34] ,ability_1_used,161.69,2팀,HeeSang,트레이서,0
[00:04:34] ,ability_2_used,161.75,2팀,vigilante,키리코,0
[00:04:34] ,ultimate_end,161.91,1팀,ChiYo,브리기테,0,1
[00:04:35] ,ability_1_used,162.68,2팀,STALK3R,프레야,0
[00:04:36] ,ability_2_used,163.26,1팀,ChiYo,브리기테,0
[00:04:36] ,ability_2_used,163.48,1팀,SP1NT,트레이서,0
[00:04:36] ,ability_1_used,164.09,2팀,vigilante,키리코,0
[00:04:36] ,ability_2_used,164.14,2팀,STALK3R,프레야,0
[00:04:37] ,ability_1_used,164.36,2팀,HeeSang,트레이서,0
[00:04:37] ,ability_1_used,164.46,1팀,SP1NT,트레이서,0
[00:04:37] ,ability_1_used,165.08,1팀,ChiYo,브리기테,0
[00:04:38] ,****,165.42,1팀,SP1NT,트레이서,2팀,STALK3R,프레야,Primary Fire,1.35,0,0
[00:04:39] ,ability_2_used,166.73,1팀,ChiYo,브리기테,0
[00:04:39] ,ability_1_used,166.94,1팀,MER1T,프레야,0
[00:04:39] ,ability_1_used,167.11,2팀,HeeSang,트레이서,0
[00:04:40] ,ability_2_used,167.91,1팀,MER1T,프레야,0
[00:04:41] ,ability_1_used,168.67,1팀,SP1NT,트레이서,0
[00:04:41] ,ability_1_used,168.91,2팀,HeeSang,트레이서,0
[00:04:42] ,ability_1_used,169.19,2팀,HeeSang,트레이서,0
[00:04:42] ,ability_1_used,169.98,2팀,MAX,시그마,0
[00:04:42] ,ability_1_used,170.15,1팀,SP1NT,트레이서,0
[00:04:43] ,ability_2_used,170.44,1팀,ChiYo,브리기테,0
[00:04:43] ,ability_1_used,170.51,1팀,MER1T,프레야,0
[00:04:44] ,ability_1_used,171.23,1팀,ChiYo,브리기테,0
[00:04:44] ,ability_1_used,171.66,2팀,HeeSang,트레이서,0
[00:04:44] ,ability_1_used,171.96,2팀,CH0R0NG,미즈키,0
[00:04:45] ,ability_2_used,172.97,2팀,CH0R0NG,미즈키,0
