[00:08:16] ,****,313.46,1팀,Fielder,일리아리,2팀,Proper,캐서디,Primary Fire,102.88,True,0
[00:08:19] ,****,316.01,1팀,HanBin,D.Va,2팀,shu,미즈키,Melee,33.46,0,0
[00:08:20] ,ultimate_end,317.07,2팀,shu,미즈키,0,2
[00:08:22] ,ultimate_end,319.04,1팀,ChiYo,주노,0,2
[00:08:24] ,****,321.13,1팀,MER1T,엠레,2팀,knife,시메트라,Primary Fire,17.22,0,0
[00:08:27] ,****,323.87,1팀,SP1NT,트레이서,2팀,Mealgaru,시그마,Primary Fire,4.68,0,0
[00:08:34] ,point_progress,330.78,3,2팀,3,33.57
[00:08:35] ,point_progress,332.11,3,2팀,3,66.78
[00:08:36] ,point_progress,333.43,3,2팀,3,99.98
[00:08:36] ,objective_captured,333.45,3,1팀,3,0.02,0,0
[00:08:53] ,ultimate_start,349.96,1팀,MER1T,엠레,0,2
[00:08:54] ,ultimate_start,350.96,2팀,knife,시메트라,0,2
[00:08:57] ,ultimate_start,354.10,2팀,Proper,캐서디,0,2
[00:08:59] ,point_progress,356.37,3,2팀,3,33.56
[00:09:01] ,point_progress,357.70,3,2팀,3,66.76
[00:09:02] ,point_progress,359.03,3,2팀,3,99.96
[00:09:02] ,objective_captured,359.04,3,2팀,3,36.57,0.02,0
[00:09:03] ,ultimate_end,359.95,1팀,MER1T,엠레,0,2
[00:09:04] ,ultimate_end,361.30,2팀,Proper,캐서디,0,2
[00:09:05] ,ultimate_start,362.02,2팀,Mealgaru,시그마,0,2
[00:09:06] ,ultimate_end,363.20,2팀,knife,시메트라,0,2
[00:09:11] ,ultimate_charged,367.76,1팀,HanBin,D.Va,0,5
[00:09:11] ,****,368.48,2팀,Proper,캐서디,1팀,MER1T,엠레,Ability 2,72.67,0,0
[00:09:12] ,defensive_assist,368.66,2팀,Viol2t,키리코,0
[00:09:13] ,ultimate_charged,369.73,1팀,SP1NT,트레이서,0,3
[00:09:13] ,ultimate_end,370.37,2팀,Mealgaru,시그마,0,2
[00:09:13] ,****,370.40,2팀,Mealgaru,시그마,1팀,ChiYo,주노,Primary Fire,75.40,0,True
[00:09:15] ,****,371.65,1팀,SP1NT,트레이서,2팀,shu,미즈키,Primary Fire,6.72,True,0
[00:09:15] ,****,371.78,2팀,Proper,캐서디,1팀,HanBin,D.Va,Primary Fire,96.04,True,0
[00:09:15] ,remech_charged,371.78,1팀,HanBin,D.Va,0,6
[00:09:15] ,defensive_assist,371.94,2팀,Viol2t,키리코,0
[00:09:16] ,****,373.22,2팀,knife,시메트라,1팀,Fielder,일리아리,Primary Fire,1.96,0,0
[00:09:24] ,ultimate_charged,380.65,1팀,HanBin,D.Va,0,7
[00:09:29] ,hero_swap,386.28,2팀,Mealgaru,레킹볼,시그마,96.82
[00:09:46] ,point_progress,403.05,3,2팀,3,33.38
[00:09:47] ,****,404.38,2팀,knife,시메트라,1팀,Fielder,일리아리,Primary Fire,0.63,0,0
[00:09:48] ,defensive_assist,404.73,2팀,shu,미즈키,0
[00:09:48] ,defensive_assist,404.82,2팀,Viol2t,키리코,0
[00:09:49] ,point_progress,405.74,3,2팀,3,66.66
[00:09:52] ,****,409.33,2팀,shu,미즈키,1팀,SP1NT,트레이서,Primary Fire,6.60,0,0
[00:09:54] ,ultimate_charged,410.71,2팀,Viol2t,키리코,0,3
[00:09:57] ,ultimate_start,413.62,1팀,HanBin,D.Va,0,7
[00:09:57] ,point_progress,413.93,3,2팀,3,99.94
[00:09:57] ,objective_captured,413.94,3,1팀,3,36.59,78.44,0
[00:09:58] ,remech_charged,414.89,1팀,HanBin,D.Va,0,8
[00:09:58] ,ultimate_end,415.21,1팀,HanBin,D.Va,0,8
[00:09:58] ,****,415.38,1팀,ChiYo,주노,2팀,Mealgaru,레킹볼,Primary Fire,3.34,0,0
[00:10:00] ,dva_remech,417.19,1팀,HanBin,D.Va,8
[00:10:01] ,point_progress,418.21,3,2팀,3,33.39
[00:10:03] ,point_progress,419.62,3,2팀,3,66.99
[00:10:04] ,objective_captured,420.95,3,2팀,3,46.58,78.47,0
[00:10:04] ,ultimate_charged,421.35,2팀,Proper,캐서디,0,3
[00:10:08] ,****,424.55,2팀,knife,시메트라,1팀,MER1T,엠레,Primary Fire,23.69,0,0
[00:10:08] ,defensive_assist,424.93,2팀,shu,미즈키,0
[00:10:08] ,defensive_assist,425.03,2팀,Viol2t,키리코,0
[00:10:08] ,****,425.46,2팀,Proper,캐서디,1팀,ChiYo,주노,Primary Fire,21.02,0,0
[00:10:09] ,defensive_assist,425.51,2팀,Viol2t,키리코,0
