[00:04:31] ,****,227.25,1팀,sugarfree,트레이서,2팀,CheckMate,시메트라,Ultimate,251.16,0,0
[00:04:31] ,ability_1_used,227.67,2팀,MER1T,소전,0
[00:04:32] ,ability_2_used,228.47,1팀,Admiral,브리기테,0
[00:04:33] ,ability_1_used,229.52,1팀,UltraViolet,키리코,0
[00:04:33] ,ability_1_used,230.02,2팀,ChiYo,미즈키,0
[00:04:34] ,ability_1_used,231.17,1팀,sugarfree,트레이서,0
[00:04:35] ,ability_1_used,232.10,1팀,Admiral,브리기테,0
[00:04:37] ,ability_2_used,233.88,2팀,MER1T,소전,0
[00:04:37] ,ability_1_used,233.97,2팀,Someone,시그마,0
[00:04:37] ,ability_2_used,234.07,1팀,Admiral,브리기테,0
[00:04:38] ,ability_1_used,234.36,1팀,sugarfree,트레이서,0
[00:04:38] ,ability_1_used,234.42,2팀,Fielder,키리코,0
[00:04:39] ,ability_2_used,235.51,1팀,Hawk,라마트라,0
[00:04:39] ,ability_1_used,235.56,1팀,Lethal,소전,0
[00:04:40] ,ability_1_used,236.47,1팀,Hawk,라마트라,0
[00:04:40] ,ability_1_used,236.98,1팀,sugarfree,트레이서,0
