[00:03:27] ,offensive_assist,87.98,1팀,Risk,마우가,0
[00:03:28] ,ability_1_used,88.96,2팀,SP1NT,트레이서,0
[00:03:30] ,objective_captured,90.94,1,1팀,0,0.01,42.95,0
[00:03:30] ,ability_1_used,91.37,1팀,kellex,루시우,0
[00:03:31] ,ability_1_used,91.90,2팀,Fielder,키리코,0
[00:03:31] ,ability_2_used,92.27,2팀,Someone,라마트라,0
[00:03:32] ,ability_2_used,92.89,2팀,Fielder,키리코,0
[00:03:32] ,ability_1_used,93.85,1팀,Risk,마우가,0
[00:03:33] ,ability_1_used,94.00,2팀,SP1NT,트레이서,0
[00:03:33] ,ability_1_used,94.09,1팀,kellex,루시우,0
[00:03:33] ,ability_1_used,94.19,2팀,SP1NT,트레이서,0
[00:03:33] ,hero_spawn,94.22,1팀,LBBD7,도미나,0,94.22
[00:03:33] ,ability_1_used,94.59,2팀,SP1NT,트레이서,0
[00:03:35] ,ability_2_used,96.03,1팀,AlphaYi,벤데타,0
[00:03:35] ,hero_swap,96.27,1팀,LBBD7,시온,도미나,2.05
[00:03:35] ,ability_1_used,96.51,2팀,MER1T,소전,0
[00:03:35] ,ability_1_used,96.64,1팀,LBBD7,시온,0
[00:03:36] ,ability_2_used,97.02,1팀,LBBD7,시온,0
[00:03:36] ,ability_1_used,97.45,1팀,kellex,루시우,0
[00:03:37] ,ability_2_used,98.46,1팀,kellex,루시우,0
[00:03:37] ,ability_1_used,98.86,1팀,AlphaYi,벤데타,0
[00:03:38] ,ability_1_used,99.32,2팀,Someone,라마트라,0
[00:03:39] ,ability_1_used,100.83,2팀,SP1NT,트레이서,0
[00:03:40] ,ability_1_used,101.00,1팀,FiNN,키리코,0
[00:03:40] ,ability_1_used,101.28,1팀,Risk,마우가,0
[00:03:41] ,ultimate_charged,102.33,2팀,Fielder,키리코,0,1
[00:03:41] ,****,102.46,2팀,SP1NT,트레이서,1팀,AlphaYi,벤데타,Melee,34.33,0,0
[00:03:41] ,ability_1_used,102.48,2팀,SP1NT,트레이서,0
[00:03:42] ,defensive_assist,102.94,2팀,Fielder,키리코,0
[00:03:42] ,ability_2_used,102.94,1팀,Risk,마우가,0
[00:03:42] ,ability_1_used,103.18,1팀,LBBD7,시온,0
[00:03:42] ,ability_1_used,103.79,1팀,kellex,루시우,0
[00:03:43] ,ability_1_used,104.20,2팀,MER1T,소전,0
[00:03:43] ,ability_2_used,104.56,2팀,SP1NT,트레이서,0
[00:03:44] ,ability_2_used,105.61,2팀,Someone,라마트라,0
[00:03:44] ,ability_1_used,105.64,2팀,SP1NT,트레이서,0
[00:03:45] ,ability_1_used,106.38,1팀,kellex,루시우,0
[00:03:45] ,ability_2_used,106.76,2팀,ChiYo,브리기테,0
[00:03:47] ,ability_1_used,108.11,1팀,Risk,마우가,0
[00:03:47] ,ability_1_used,108.57,2팀,SP1NT,트레이서,0
[00:03:47] ,****,108.76,2팀,Someone,라마트라,1팀,Risk,마우가,0,0.72,0,0
[00:03:47] ,point_progress,108.87,1,2팀,0,33.45
[00:03:48] ,defensive_assist,109.07,2팀,Fielder,키리코,0
[00:03:48] ,ability_1_used,109.77,1팀,kellex,루시우,0
[00:03:49] ,ability_2_used,110.51,2팀,MER1T,소전,0
[00:03:50] ,point_progress,111.88,1,2팀,0,66.94
[00:03:51] ,ability_1_used,112.15,1팀,FiNN,키리코,0
[00:03:51] ,ability_2_used,112.22,2팀,ChiYo,브리기테,0
[00:03:51] ,ability_1_used,112.27,2팀,SP1NT,트레이서,0
[00:03:51] ,ability_1_used,112.49,1팀,LBBD7,시온,0
[00:03:51] ,ability_1_used,112.71,2팀,MER1T,소전,0
[00:03:52] ,ability_1_used,113.00,1팀,AlphaYi,벤데타,0
[00:03:52] ,objective_captured,113.21,1,2팀,0,18.56,42.96,0
[00:03:52] ,ability_2_used,113.77,1팀,FiNN,키리코,0
[00:03:53] ,ability_2_used,113.91,1팀,kellex,루시우,0
[00:03:53] ,ability_1_used,114.09,2팀,Fielder,키리코,0
[00:03:53] ,****,114.47,1팀,LBBD7,시온,2팀,SP1NT,트레이서,Primary Fire,65,True,0
[00:03:53] ,defensive_assist,114.68,1팀,kellex,루시우,0
[00:03:53] ,defensive_assist,114.73,1팀,FiNN,키리코,0
[00:03:54] ,ability_1_used,115.02,1팀,kellex,루시우,0
[00:03:54] ,ultimate_charged,115.56,1팀,FiNN,키리코,0,1
[00:03:56] ,ability_2_used,117.21,2팀,ChiYo,브리기테,0
[00:03:57] ,ability_1_used,118.71,2팀,ChiYo,브리기테,0
[00:03:58] ,ability_1_used,119.31,1팀,Risk,마우가,0
[00:03:59] ,ultimate_charged,120.47,2팀,Someone,라마트라,0,1
[00:04:02] ,ability_1_used,123.40,1팀,LBBD7,시온,0
[00:04:04] ,ability_2_used,125.18,2팀,ChiYo,브리기테,0
[00:04:04] ,ability_1_used,125.50,1팀,kellex,루시우,0
[00:04:05] ,ability_1_used,126.04,2팀,SP1NT,트레이서,0
[00:04:05] ,ability_1_used,126.25,2팀,SP1NT,트레이서,0
[00:04:05] ,ability_1_used,126.43,2팀,SP1NT,트레이서,0
[00:04:06] ,ability_1_used,127.48,1팀,Risk,마우가,0
[00:04:08] ,ability_1_used,129.83,2팀,SP1NT,트레이서,0
[00:04:09] ,ability_1_used,130.17,1팀,kellex,루시우,0
[00:04:09] ,ultimate_charged,130.41,2팀,MER1T,소전,0,1
[00:04:10] ,ability_1_used,131.45,2팀,ChiYo,브리기테,0
[00:04:11] ,ability_1_used,131.96,1팀,kellex,루시우,0
[00:04:11] ,ability_2_used,132.20,2팀,MER1T,소전,0
[00:04:11] ,ability_2_used,132.22,2팀,ChiYo,브리기테,0
[00:04:11] ,ultimate_charged,132.72,1팀,Risk,마우가,0,1
[00:04:12] ,ultimate_start,133.15,1팀,FiNN,키리코,0,1
[00:04:12] ,ability_1_used,133.53,1팀,LBBD7,시온,0
[00:04:12] ,ability_2_used,133.61,1팀,AlphaYi,벤데타,0
[00:04:12] ,ability_1_used,133.61,1팀,kellex,루시우,0
[00:04:12] ,ultimate_start,133.69,2팀,MER1T,소전,0,1
[00:04:13] ,ability_2_used,133.98,2팀,ChiYo,브리기테,0
[00:04:13] ,ability_2_used,134.03,2팀,Someone,라마트라,0
[00:04:14] ,ability_1_used,135.15,1팀,AlphaYi,벤데타,0
