[00:05:48] ,ultimate_end,298.40,2팀,Proper,시메트라,0,1
[00:05:53] ,hero_swap,303.23,2팀,Proper,파라,시메트라,121.57
[00:06:08] ,ultimate_charged,318.48,2팀,knife,캐서디,0,2
[00:06:11] ,ultimate_start,321.64,1팀,Fielder,키리코,0,2
[00:06:15] ,ultimate_start,325.61,2팀,knife,캐서디,0,2
[00:06:18] ,****,327.98,1팀,ChiYo,미즈키,2팀,Viol2t,키리코,Primary Fire,15,0,0
[00:06:18] ,defensive_assist,328.11,1팀,HanBin,마우가,0
[00:06:18] ,ultimate_start,328.11,2팀,shu,미즈키,0,1
[00:06:18] ,defensive_assist,328.19,1팀,ChiYo,미즈키,0
[00:06:18] ,offensive_assist,328.24,1팀,Fielder,키리코,0
[00:06:20] ,ultimate_charged,330.57,1팀,MER1T,캐서디,0,2
[00:06:21] ,ultimate_charged,331.40,2팀,Mealgaru,마우가,0,2
[00:06:22] ,ultimate_start,332.25,2팀,Mealgaru,마우가,0,2
[00:06:22] ,ultimate_charged,332.27,1팀,HanBin,마우가,0,2
[00:06:23] ,ultimate_end,332.84,1팀,Fielder,키리코,0,2
[00:06:23] ,ultimate_end,333.00,2팀,knife,캐서디,0,2
[00:06:23] ,ultimate_start,333.20,1팀,MER1T,캐서디,0,2
[00:06:24] ,ultimate_end,334.62,2팀,shu,미즈키,0,1
[00:06:24] ,****,334.65,2팀,Proper,파라,1팀,SP1NT,안란,Primary Fire,37.38,0,0
[00:06:24] ,offensive_assist,334.68,2팀,Mealgaru,마우가,0
[00:06:24] ,defensive_assist,334.68,2팀,Mealgaru,마우가,0
[00:06:24] ,ultimate_start,334.72,1팀,HanBin,마우가,0,2
[00:06:24] ,defensive_assist,334.73,2팀,shu,미즈키,0
[00:06:25] ,****,335.12,1팀,SP1NT,안란,2팀,Mealgaru,마우가,Secondary Fire,0.04,0,0
[00:06:25] ,offensive_assist,335.18,1팀,HanBin,마우가,0
[00:06:25] ,defensive_assist,335.18,1팀,HanBin,마우가,0
[00:06:25] ,****,335.23,1팀,MER1T,캐서디,2팀,shu,미즈키,Ultimate,88.48,0,0
[00:06:25] ,defensive_assist,335.24,1팀,ChiYo,미즈키,0
[00:06:25] ,defensive_assist,335.24,1팀,ChiYo,미즈키,0
[00:06:25] ,offensive_assist,335.29,1팀,Fielder,키리코,0
[00:06:25] ,offensive_assist,335.29,1팀,Fielder,키리코,0
[00:06:25] ,defensive_assist,335.29,1팀,Fielder,키리코,0
[00:06:25] ,defensive_assist,335.29,1팀,Fielder,키리코,0
[00:06:25] ,offensive_assist,335.64,1팀,HanBin,마우가,0
[00:06:25] ,ultimate_end,335.66,1팀,MER1T,캐서디,0,2
[00:06:26] ,ultimate_end,335.79,2팀,Mealgaru,마우가,0,2
[00:06:27] ,****,337.39,1팀,MER1T,캐서디,2팀,Proper,파라,0,22.09,0,0
[00:06:27] ,offensive_assist,337.52,1팀,HanBin,마우가,0
[00:06:27] ,defensive_assist,337.58,1팀,ChiYo,미즈키,0
[00:06:27] ,offensive_assist,337.63,1팀,Fielder,키리코,0
[00:06:27] ,defensive_assist,337.63,1팀,Fielder,키리코,0
[00:06:28] ,****,337.88,1팀,MER1T,캐서디,2팀,knife,캐서디,Primary Fire,51.38,0,0
[00:06:28] ,offensive_assist,337.99,1팀,HanBin,마우가,0
[00:06:28] ,defensive_assist,338.04,1팀,ChiYo,미즈키,0
[00:06:28] ,offensive_assist,338.09,1팀,Fielder,키리코,0
[00:06:28] ,defensive_assist,338.09,1팀,Fielder,키리코,0
[00:06:30] ,ultimate_end,340.68,1팀,HanBin,마우가,0,2
[00:06:32] ,objective_updated,342.57,3,1,2
[00:06:32] ,player_stat,342.59,3,2팀,Mealgaru,도미나,1,0,2,2120.99,0,2120.99,0,2657.95,291.83,3961.43,5003.00,0,0,1,1,0,0,0,0,0,0,3,0.20,0,0,0,57,15,40,0,0,0.27,174.17
[00:06:32] ,player_stat,342.59,3,2팀,Mealgaru,D.Va,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:32] ,player_stat,342.59,3,2팀,Mealgaru,윈스턴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:32] ,player_stat,342.59,3,2팀,Mealgaru,마우가,2,0,3,2709.31,0,2709.31,472.59,2781.02,360.83,5410.72,1200.00,1,2,1,1,0,0,0,1,0,0,42,0.09,0,0,0,1347,488,731,0,0,0.40,168.41
[00:06:32] ,player_stat,342.59,3,2팀,knife,트레이서,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:32] ,player_stat,342.59,3,2팀,knife,캐서디,7,5,5,5713.37,185,5528.37,0,2621.03,0,3891.30,0,0,0,2,2,0,0,0,1,0,0,14,0.15,0,0,0,212,95,109,0,0,0.47,342.59
